day1	day2	day3	day4	date	stormy	mixed	price	qty	rainy	cold	windspd	windspd2	pricelevel	totr	tots
0	0	0	0	920117	1	0	0.1541506	7.156956	1	1	3.218876	10.36116	1.166667	240	1283
1	0	0	0	920120	1	0	0.0350913	6.363028	0	1	3.075775	9.460391	1.035714	300	580
0	1	0	0	920121	0	1	0.218131	7.313221	1	1	3.075775	9.460391	1.24375	1960	1550
0	0	1	0	920122	0	0	-0.0624355	8.39163	0	1	2.908721	8.460658	0.9394737	5408	4410
0	0	0	1	920123	0	0	-0.4418328	9.188503	0	0	2.70805	7.333536	0.6428571	10130	9909
0	0	0	0	920124	0	0	-0.7699343	9.318297	1	0	2.862201	8.192194	0.4630435	12943	11140
1	0	0	0	920127	1	0	-0.7391911	8.363809	1	1	3.113515	9.693978	0.4775	2766	4289
0	1	0	0	920128	0	1	-0.7230001	8.621193	0	1	2.862201	8.192194	0.4852941	4050	5548
0	0	1	0	920129	0	0	-0.5184302	8.144679	0	1	2.813411	7.91528	0.5954546	6208	3445
0	0	0	1	920130	0	0	-0.5533853	8.710784	0	1	2.650892	7.027227	0.575	7539	6151
0	0	0	0	920131	0	0	-0.5590724	8.417373	0	0	2.650892	7.027227	0.5717391	6250	4525
1	0	0	0	920203	1	0	-0.4238143	9.017968	0	1	3.251666	10.57333	0.6545454	8620	8250
0	1	0	0	920204	1	0	-0.7731899	7.528332	0	1	3.283414	10.78081	0.4615385	300	1860
0	0	1	0	920205	1	0	-0.2040953	7.154615	0	1	3.075775	9.460391	0.8153846	360	1280
0	0	0	1	920206	1	0	0.3841877	8.487764	0	1	3.075775	9.460391	1.468421	5680	4855
0	0	0	0	920207	0	1	0.3479887	8.979543	0	1	2.953173	8.721229	1.416216	7484	8089
1	0	0	0	920210	1	0	0.3229889	8.744328	0	1	3.036554	9.220662	1.38125	6960	6275
0	1	0	0	920211	1	0	0.4345259	7.893572	0	1	2.953173	8.721229	1.544231	2460	2680
0	0	1	0	920212	1	0	0.2000211	8.5923	0	1	2.908721	8.460658	1.221429	8396	5390
0	0	0	1	920213	0	1	-0.0071685	9.035987	0	1	2.862201	8.192194	0.9928572	14440	8400
0	0	0	0	920214	0	1	-0.4744579	9.525735	0	1	2.862201	8.192194	0.6222222	7095	13708
0	1	0	0	920218	0	0	-0.7711087	9.773094	0	1	2.862201	8.192194	0.4625	19698	17555
0	0	1	0	920219	0	1	-1.094774	8.158802	0	0	2.813411	7.91528	0.3346154	10	3474
0	0	0	1	920220	0	0	-0.8602012	8.677609	0	0	2.70805	7.333536	0.4230769	6470	5870
0	0	0	0	920221	0	1	-0.597837	9.034796	0	0	2.762117	7.629292	0.55	6695	8390
1	0	0	0	920224	0	0	-0.567984	8.375629	0	1	2.525729	6.379305	0.5666667	5222	4340
0	1	0	0	920225	0	0	-0.7711087	7.649693	0	1	2.590267	6.709484	0.4625	2885	2100
0	0	1	0	920226	0	1	-0.2724146	7.853605	0	1	2.862201	8.192194	0.7615384	2025	2575
0	0	0	1	920227	1	0	0.1849223	7.955074	1	1	2.953173	8.721229	1.203125	1179	2850
0	0	0	0	920228	1	0	0.20676	8.73069	0	0	2.908721	8.460658	1.229687	7420	6190
1	0	0	0	920302	0	1	0.074108	8.633197	0	0	2.908721	8.460658	1.076923	5855	5635
0	1	0	0	920303	1	0	-0.0071685	8.796339	0	1	2.908721	8.460658	0.9928572	7327	6730
0	0	1	0	920304	0	1	-0.2548923	8.994048	0	0	2.762117	7.629292	0.775	7850	8055
0	0	0	1	920305	0	1	-0.2364898	9.22375	0	0	2.650892	7.027227	0.789394	8610	10135
0	0	0	0	920306	0	0	-0.4848501	8.568457	0	0	2.590267	6.709484	0.6157895	5213	5263
1	0	0	0	920309	0	1	-0.8119307	9.981374	0	0	2.862201	8.192194	0.444	26530	21620
0	1	0	0	920310	0	1	-0.4780358	9.172119	0	0	2.813411	7.91528	0.62	4520	9685
0	0	1	0	920311	0	1	-0.2301122	8.116715	0	1	2.762117	7.629292	0.7944444	3375	3350
0	0	0	1	920312	1	0	-0.2887938	9.241354	1	1	3.075775	9.460391	0.7491667	10600	11015
0	0	0	0	920313	1	0	-0.3409266	8.016318	0	1	3.283414	10.78081	0.7111111	21070	3030
1	0	0	0	920316	0	0	-0.4812668	9.646011	0	1	2.862201	8.192194	0.618	250	15520
0	1	0	0	920317	0	0	-0.5817336	9.168476	0	1	2.813411	7.91528	0.5589285	7610	9590
0	0	1	0	920318	0	1	-0.0370413	7.44132	0	1	2.908721	8.460658	0.9636363	3065	1705
0	0	0	1	920319	0	0	0.0746435	8.61432	0	1	2.813411	7.91528	1.0775	3830	5510
0	0	0	0	920320	1	0	-0.5268259	8.902047	1	1	3.075775	9.460391	0.5904762	8342	7347
1	0	0	0	920323	0	0	-0.1123292	7.857481	0	1	2.590267	6.709484	0.89375	2305	2585
0	1	0	0	920324	0	1	-0.2376716	8.228177	0	1	2.762117	7.629292	0.7884616	4410	3745
0	0	1	0	920325	0	1	-0.4243931	7.986165	0	1	2.762117	7.629292	0.6541666	3000	2940
0	0	0	1	920326	0	1	-0.4828126	9.395989	0	0	2.862201	8.192194	0.6170455	11783	12140
0	0	0	0	920327	0	1	-0.1923718	7.711997	0	0	2.862201	8.192194	0.825	2535	2295
1	0	0	0	920330	1	0	0.1823216	7.705263	0	0	3.401197	11.56814	1.2	5130	2220
0	1	0	0	920331	1	0	0.2876821	7.013916	0	0	3.184974	10.14406	1.333333	514	1112
0	0	1	0	920401	0	1	-0.1873341	8.492901	1	0	2.953173	8.721229	0.8291667	3920	4940
0	0	0	1	920402	0	0	-0.4404448	9.333443	0	0	2.590267	6.709484	0.64375	10240	11310
0	0	0	0	920403	0	0	-0.567984	9.578795	1	1	2.862201	8.192194	0.5666667	15042	14480
1	0	0	0	920406	0	0	-0.3873608	8.975504	0	0	2.813411	7.91528	0.6788461	6852	7727
0	1	0	0	920407	0	0	-0.5108256	7.28961	0	0	2.70805	7.333536	0.6	305	1465
0	0	1	0	920408	0	0	-0.6149098	9.415728	0	0	2.70805	7.333536	0.5406896	14148	12280
0	0	0	1	920409	0	0	-0.3876929	8.740336	0	0	2.650892	7.027227	0.6786207	5160	6250
0	0	0	0	920410	0	0	-0.3716677	8.584852	0	0	2.650892	7.027227	0.6895834	4340	5350
1	0	0	0	920413	0	0	-0.3101549	8.657825	0	1	2.862201	8.192194	0.7333333	7049	5535
0	1	0	0	920414	0	0	-0.3502024	7.383989	0	0	2.995732	8.974412	0.7045454	200	2260
0	0	1	0	920415	0	0	-0.2231435	6.194406	0	0	2.762117	7.629292	0.8	360	490
0	0	0	1	920416	0	0	-0.3119048	9.187583	0	0	2.525729	6.379305	0.7320513	11875	9655
0	0	0	0	920417	0	0	-0.2258646	8.779557	1	0	2.456736	6.035551	0.7978261	3900	6050
0	1	0	0	920421	0	0	-0.2842691	9.261033	0	0	2.590267	6.709484	0.7525641	10700	10494
0	0	1	0	920422	0	0	-0.0971638	8.294049	0	0	2.525729	6.379305	0.9074074	3940	4118
0	0	0	1	920423	0	0	-0.1419181	8.737132	1	0	2.650892	7.027227	0.8676924	6570	5910
0	0	0	0	920424	0	0	-0.5364382	9.651816	0	0	2.650892	7.027227	0.5848276	15940	15455
1	0	0	0	920427	0	0	-0.4596867	8.552561	0	0	2.650892	7.027227	0.6314815	8170	5060
0	1	0	0	920428	0	0	-0.4866114	8.163371	0	0	2.590267	6.709484	0.6147059	1676	3300
0	0	1	0	920429	0	0	-0.7603559	8.663024	0	0	2.525729	6.379305	0.4675	6963	5785
0	0	0	1	920430	0	0	-0.8931236	9.099409	0	0	2.525729	6.379305	0.409375	7694	9050
0	0	0	0	920501	0	0	-1.107745	9.014325	0	0	2.525729	6.379305	0.330303	11370	8520
1	0	0	0	920504	0	0	-0.7985078	8.610683	0	0	2.862201	8.192194	0.45	1610	6260
0	1	0	0	920505	0	1	-0.0870114	7.162397	0	0	2.908721	8.460658	0.9166666	1320	1290
0	0	1	0	920506	0	1	0.1849223	7.36201	0	0	2.862201	8.192194	1.203125	2305	1450
0	0	0	1	920507	0	1	0.2231435	8.764053	0	0	2.813411	7.91528	1.25	6080	4780
0	0	0	0	920508	0	1	0.5611184	8.328451	0	0	2.862201	8.192194	1.752632	4020	3420
